DoctorID,Name,Contact,Email,DepartmentID,Department
E0061,Thomas Webb,67584930, thomas.webb@abchospital.com,D0002,Intensive Care Unit
E0062,Rebecca Ford,76482915, rebecca.ford@abchospital.com,D0003,Radiology
E0063,Daniel Cole,28374659, daniel.cole@abchospital.com,D0004,Cardiology
E0064,Emma Fox,92837465, emma.fox@abchospital.com,D0001,Emergency
E0065,Matthew Gray,37465928, matthew.gray@abchospital.com,D0009,Neurology
E0066,Natalie Price,84930276, natalie.price@abchospital.com,D0004,Cardiology
E0067,Anthony Hart,56283947, anthony.hart@abchospital.com,D0005,Pediatrics
E0068,Laura West,67384920, laura.west@abchospital.com,D0007,Obstetrics and Gynecology
E0069,Patrick Stone,73629184, patrick.stone@abchospital.com,D0010,Oncology
E0070,Jessica Miles,82637459, jessica.miles@abchospital.com,D0006,Orthopedics
E0071,Benjamin Clark,29384756, benjamin.clark@abchospital.com,D0003,Radiology
E0072,Caroline Reed,81726394, caroline.reed@abchospital.com,D0009,Neurology
E0073,Alexander Young,64573829, alexander.young@abchospital.com,D0005,Pediatrics
E0074,Isabella Brooks,73829164, isabella.brooks@abchospital.com,D0001,Emergency
E0075,Ryan Martin,23512311, ryan.martin@abchospital.com,D0007,Obstetrics and Gynecology
E0076,Megan Carter,12412411, megan.carter@abchospital.com,D0004,Cardiology
E0077,John Fisher,12312323, john.fisher@abchospital.com,D0002,Intensive Care Unit
E0078,Sophia Murphy,25123134, sophia.murphy@abchospital.com,D0008,Surgery
E0079,Kyle Bennett,97235619, kyle.bennett@abchospital.com,D0010,Oncology
E0080,Emma Parker,45358235, emma.parker@abchospital.com,D0006,Orthopedics
E0081,Joseph Diaz,98572415, joseph.diaz@abchospital.com,D0004,Cardiology
E0082,Anna Murphy,13512312, anna.murphy@abchospital.com,D0003,Radiology
E0083,Ethan Bennett,21314112, ethan.bennett@abchospital.com,D0007,Obstetrics and Gynecology
E0084,Victoria Lee,24666442, victoria.lee@abchospital.com,D0001,Emmergency
E0085,Brandon Cruz,45262343, brandon.cruz@abchospital.com,D0005,Pediatrics
E0086,Sophie Adams,23526624, sophie.adams@abchospital.com,D0008,Surgery
E0087,Nathan Cooper,34523141, nathan.cooper@abchospital.com,D0009,Neurology
E0088,Emily Turner,12151773, emily.turner@abchospital.com,D0002,Intensive Care Unit
E0089,Aaron Gray,32523455, aaron.gray@abchospital.com,D0010,Oncology
E0090,Molly Hughes,83169985, molly.hughes@abchospital.com,D0006,Orthopedics
E0091,Logan Ross,85764758, logan.ross@abchospital.com,D0005,Pediatrics
E0092,Claire Bennett,39577139, claire.bennett@abchospital.com,D0001,Emergency
E0093,Zachary Diaz,89677133, zachary.diaz@abchospital.com,D0008,Surgery
E0094,Kayla Ward,96890431, kayla.ward@abchospital.com,D0004,Cardiology
E0095,Joshua Price,85769304, joshua.price@abchospital.com,D0007,Obstetrics and Gynecology
E0096,Nina Turner,58273769, nina.turner@abchospital.com,D0004,Cardiology
E0097,Eric Hughes,12358576, eric.hughes@abchospital.com,D0009,Neurology
E0098,Lily Adams,29576793, lily.adams@abchospital.com,D0005,Pediatrics
E0099,Christopher Reed,31956390, christopher.reed@abchospital.com,D0010,Oncology
E0100,Daniel Jenson,23375141,daniel.jenson@abchospital.com,D0004,Cardiology
